Feature;Type;Description
age;numeric;age
job;categorical;type of job ("admin.","blue-collar","entrepreneur","housemaid","management","retired","self-employed","services","student","technician","unemployed","unknown")
marital;categorical;marital status ("divorced","married","single","unknown". Note: "divorced" means divorced or widowed)
educatio;categorical;"basic.4y","basic.6y","basic.9y","high.school","illiterate","professional.course","university.degree","unknown"
default;categorical;has credit in default? ("no","yes","unknown")
housing;categorical;has housing loan? ("no","yes","unknown")
loan;categorical;has personal loan? ("no","yes","unknown")
contact;categorical;contact communication type ("cellular","telephone") 
month;categorical;last contact month of year ("jan", "feb", "mar", ..., "nov", "dec")
day_of_week;categorical;last contact day of the week ("mon","tue","wed","thu","fri")
duration;numeric;last contact duration, in seconds. Important note:  this attribute highly affects the output target (e.g., if duration=0 then y="no"). Yet, the duration is not known before a call is performed. Also, after the end of the call y is obviously known. Thus, this input should only be included for benchmark purposes and should be discarded if the intention is to have a realistic predictive model.
campaign;numeric, includes last contact;number of contacts performed during this campaign and for this client
pdays;numeric. 999 means client was not previously contacted;number of days that passed by after the client was last contacted from a previous campaign
previous;numeric;number of contacts performed before this campaign and for this client
poutcome;categorical;outcome of the previous marketing campaign ("failure","nonexistent","success")
emp.var.rate;numeric;employment variation rate, quarterly indicator
cons.price.idx;numeric;consumer price index, monthly indicator     
cons.conf.idx;numeric;consumer confidence index, monthly indicator     
euribor3m;numeric;euribor 3 month rate, daily indicator
nr.employed;numeric;number of employees, quarterly indicator
y;binary;has the client subscribed a term deposit? ("yes","no")
