id,feature,description
0,Date,(DD/MM/YYYY)
1,Time,(HH.MM.SS)
2,CO(GT),True hourly averaged concentration CO in mg/m^3 (reference analyzer)
3,PT08.S1,(tin oxide) hourly averaged sensor response (nominally CO targeted)
4,NMHC(GT),True hourly averaged overall Non Metanic HydroCarbons concentration in microg/m^3 (reference analyzer)
5,C6H6(GT),True hourly averaged Benzene concentration in microg/m^3 (reference analyzer)
6,PT08.S2,(titania) hourly averaged sensor response (nominally NMHC targeted)
7,NOx(GT),True hourly averaged NOx concentration in ppb (reference analyzer)
8,PT08.S3,(tungsten oxide) hourly averaged sensor response (nominally NOx targeted)
9,NO2(GT),True hourly averaged NO2 concentration in microg/m^3 (reference analyzer)
10,PT08.S4(NO2),(tungsten oxide) hourly averaged sensor response (nominally NO2 targeted)
11,PT08.S5(03),(indium oxide) hourly averaged sensor response (nominally O3 targeted)
12,T,Temperature in  °C
13,RH,Relative Humidity (%)
14,AH,Absolute Humidity
